County,FIPS,Average Annual Count,State
Linn County,19113,204,Iowa
Upshur County,54097,25,West Virginia
Black Hawk County,19013,113,Iowa
New Castle County,10003,525,Delaware
Forest County,55041,9,Wisconsin
St. Charles County,29183,360,Missouri
Monona County,19133,10,Iowa
DeWitt County,48123,17,Texas
Lafayette Parish,22055,203,Louisiana
York County,45091,243,South Carolina
Tallahatchie County,28135,10,Mississippi
Pulaski County,13235,12,Georgia
Moore County,37125,108,North Carolina
Santa Barbara County,6083,361,California
Kendall County,17093,95,Illinois
Merrimack County,33013,150,New Hampshire
Fulton County,17057,35,Illinois
Crawford County,29055,23,Missouri
Aransas County,48007,27,Texas
Hartford County,9003,864,Connecticut
Bergen County,34003,916,New Jersey
Madison County,37115,25,North Carolina
Beltrami County,27007,39,Minnesota
Centre County,42027,119,Pennsylvania
Appling County,13001,18,Georgia
Chester County,42029,485,Pennsylvania
Scott County,27139,114,Minnesota
Washington County,16087,12,Idaho
Greene County,39057,156,Ohio
Lewis County,54041,17,West Virginia
Sumter County,12119,230,Florida
Carroll County,24013,164,Maryland
Montgomery County,42091,824,Pennsylvania
Monroe County,55081,40,Wisconsin
Fairfield County,9001,879,Connecticut
Montour County,42093,20,Pennsylvania
Whatcom County,53073,199,Washington
Deschutes County,41017,192,Oregon
Adams County,17001,63,Illinois
Union County,45087,28,South Carolina
Somerset County,34035,326,New Jersey
Franklin County,19069,11,Iowa
Jefferson County,28063,8,Mississippi
Barnstable County,25001,312,Massachusetts
Dallas County,19049,72,Iowa
Nash County,37127,93,North Carolina
Miami County,39109,103,Ohio
Warren County,39165,213,Ohio
Chelan County,53007,74,Washington
Montgomery County,39113,523,Ohio
Chesapeake City,51550,213,Virginia
Lavaca County,48285,21,Texas
Cape Girardeau County,29031,71,Missouri
Belknap County,33001,69,New Hampshire
Houston County,47083,8,Tennessee
Chemung County,36015,82,New York
Fayette County,21067,258,Kentucky
Charlotte County,51037,12,Virginia
Jasper County,17079,8,Illinois
Baltimore County,24005,823,Maryland
Marion County,48315,11,Texas
Polk County,37149,25,North Carolina
Chickasaw County,19037,11,Iowa
Sarpy County,31153,141,Nebraska
Pickens County,13227,36,Georgia
Plymouth County,25023,523,Massachusetts
Morris County,34027,485,New Jersey
Kemper County,28069,8,Mississippi
Westchester County,36119,940,New York
Harford County,24025,244,Maryland
Clatsop County,41007,44,Oregon
Clarke County,19039,9,Iowa
Ottawa County,39123,47,Ohio
Davis County,19051,8,Iowa
Chittenden County,50007,140,Vermont
DuPage County,17043,848,Illinois
Fayette County,13113,118,Georgia
Emmet County,26047,34,Michigan
Santa Cruz County,6087,239,California
Chatham County,37037,88,North Carolina
Pennington County,27113,12,Minnesota
Marshall County,47117,31,Tennessee
Scott County,5127,9,Arkansas
Middlesex County,51119,13,Virginia
Honolulu County,15003,887,Hawaii
Wayne County,21231,19,Kentucky
Dallas County,1047,38,Alabama
Pender County,37141,56,North Carolina
Bucks County,42017,653,Pennsylvania
Madison County,13195,27,Georgia
Covington City,51580,6,Virginia
Beaufort County,37013,52,North Carolina
Gloucester County,34015,276,New Jersey
Williamson County,47187,205,Tennessee
Winnebago County,55139,148,Wisconsin
Oregon County,29149,8,Missouri
Greensville County,51081,8,Virginia
Thurston County,53067,273,Washington
Washington County,28151,43,Mississippi
Craven County,37049,94,North Carolina
Montmorency County,26119,11,Michigan
Fayette County,39047,28,Ohio
Mitchell County,37121,17,North Carolina
Lorain County,39093,296,Ohio
Yancey County,37199,22,North Carolina
West Baton Rouge Parish,22121,22,Louisiana
Barrow County,13013,66,Georgia
Greenville County,45045,463,South Carolina
Yamhill County,41071,97,Oregon
Camden County,34007,469,New Jersey
Yolo County,6113,155,California
Lexington County,45063,264,South Carolina
Murray County,27101,8,Minnesota
Cass County,29037,98,Missouri
Nottoway County,51135,14,Virginia
Wallowa County,41063,8,Oregon
Davison County,46035,18,South Dakota
Bee County,48025,20,Texas
Newberry County,45071,37,South Carolina
Jefferson County,21111,706,Kentucky
Butler County,19023,15,Iowa
Marion County,39101,58,Ohio
Coweta County,13077,125,Georgia
Hancock County,23009,63,Maine
Waynesboro City,51820,22,Virginia
Mercer County,29129,4,Missouri
Valley County,30105,7,Montana
Pike County,1109,25,Alabama
Polk County,19153,383,Iowa
Covington County,28031,16,Mississippi
Washington County,41067,483,Oregon
Parker County,48367,125,Texas
Middlesex County,25017,1407,Massachusetts
Ingham County,26065,217,Michigan
Garvin County,40049,22,Oklahoma
Gasconade County,29073,17,Missouri
Roanoke County,51161,102,Virginia
Lewis County,36049,25,New York
Greene County,1063,9,Alabama
Clackamas County,41005,398,Oregon
Jefferson Parish,22051,410,Louisiana
Lake County,39085,240,Ohio
Jefferson County,29099,202,Missouri
Williamson County,48491,453,Texas
Chaffee County,8015,21,Colorado
Chesterfield County,51041,317,Virginia
Rockingham County,33015,313,New Hampshire
Platte County,29165,89,Missouri
Effingham County,13103,49,Georgia
Okanogan County,53047,40,Washington
Cumberland County,23005,293,Maine
Essex County,50009,7,Vermont
Minnehaha County,46099,143,South Dakota
Oakland County,26125,1183,Michigan
La Plata County,8067,53,Colorado
Milwaukee County,55079,747,Wisconsin
Camden County,13039,41,Georgia
Wright County,27171,105,Minnesota
Hart County,13147,26,Georgia
Schenectady County,36093,146,New York
Cedar County,31027,9,Nebraska
Warren County,29219,32,Missouri
Cumberland County,21057,6,Kentucky
Broome County,36007,186,New York
Will County,17197,564,Illinois
Gallatin County,17059,5,Illinois
Stewart County,47161,13,Tennessee
Allegheny County,42003,1201,Pennsylvania
Butts County,13035,22,Georgia
Cape May County,34009,115,New Jersey
West Feliciana Parish,22125,10,Louisiana
Jackson County,41029,231,Oregon
Lee County,28081,73,Mississippi
Walthall County,28147,13,Mississippi
Washington County,1129,15,Alabama
Canyon County,16027,173,Idaho
Cabarrus County,37025,180,North Carolina
Douglas County,31055,443,Nebraska
Washington County,50023,59,Vermont
Bremer County,19017,24,Iowa
Duval County,12031,832,Florida
Haywood County,47075,18,Tennessee
Robeson County,37155,102,North Carolina
Mecosta County,26107,37,Michigan
Phelps County,31137,8,Nebraska
Monroe County,1099,19,Alabama
Morrill County,31123,4,Nebraska
Kane County,49025,9,Utah
Monroe County,13207,26,Georgia
Lehigh County,42077,334,Pennsylvania
Iberville Parish,22047,28,Louisiana
Suffolk County,36103,1403,New York
Macomb County,26099,823,Michigan
Wilkinson County,13319,10,Georgia
Beaver County,42007,173,Pennsylvania
Douglas County,13097,113,Georgia
Butler County,39017,325,Ohio
Lake County,17097,598,Illinois
Monroe County,19135,7,Iowa
Holmes County,28051,15,Mississippi
De Soto Parish,22031,24,Louisiana
Richmond County,37153,42,North Carolina
Cuming County,31039,7,Nebraska
Harrison County,29081,9,Missouri
Sussex County,34037,140,New Jersey
Crenshaw County,1041,13,Alabama
Dodge County,31053,31,Nebraska
Newton County,13217,92,Georgia
Jefferson County,8059,518,Colorado
Silver Bow County,30093,31,Montana
Stark County,38089,23,North Dakota
Livingston County,21139,9,Kentucky
Wahkiakum County,53069,5,Washington
Sullivan County,33019,44,New Hampshire
Payette County,16075,22,Idaho
Warren County,34041,107,New Jersey
Washington County,40147,50,Oklahoma
York County,23031,216,Maine
Cass County,19029,14,Iowa
La Crosse County,55063,101,Wisconsin
Howard County,24027,275,Maryland
Payne County,40119,51,Oklahoma
Maui County,15009,152,Hawaii
Powhatan County,51145,28,Virginia
Kewaunee County,55061,20,Wisconsin
Wilson County,37195,77,North Carolina
Delaware County,42045,508,Pennsylvania
Ascension Parish,22005,92,Louisiana
Iredell County,37097,163,North Carolina
Todd County,46121,4,South Dakota
Hill County,48217,32,Texas
Conway County,5029,19,Arkansas
Pinellas County,12103,1091,Florida
Boone County,21015,109,Kentucky
Lincoln County,21137,22,Kentucky
Cumberland County,37051,246,North Carolina
Niagara County,36063,211,New York
Isanti County,27059,35,Minnesota
Platte County,56031,9,Wyoming
Clark County,5019,16,Arkansas
Scott County,21209,42,Kentucky
East Carroll Parish,22035,5,Louisiana
Pierce County,53053,718,Washington
Erie County,36029,898,New York
Santa Fe County,35049,173,New Mexico
Grafton County,33009,87,New Hampshire
Stearns County,27145,121,Minnesota
Cleveland County,37045,96,North Carolina
Josephine County,41033,101,Oregon
Brown County,55009,218,Wisconsin
Owen County,21187,10,Kentucky
Essex County,25009,741,Massachusetts
Clark County,39023,133,Ohio
Licking County,39089,161,Ohio
Medina County,39103,171,Ohio
Forsyth County,37067,338,North Carolina
Ashland County,55003,15,Wisconsin
Pottawatomie County,40125,63,Oklahoma
Loudon County,47105,65,Tennessee
Oconee County,13219,35,Georgia
Ventura County,6111,724,California
Johnson County,29101,36,Missouri
Orleans County,36073,37,New York
Rice County,27131,53,Minnesota
Maury County,47119,86,Tennessee
Washington County,17189,13,Illinois
Habersham County,13137,43,Georgia
Lafayette County,29107,32,Missouri
Richmond County,36085,440,New York
Yazoo County,28163,19,Mississippi
Cass County,38017,121,North Dakota
Hertford County,37091,22,North Carolina
Winchester City,51840,23,Virginia
Brevard County,12009,645,Florida
Bladen County,37017,33,North Carolina
Madison County,1089,328,Alabama
Rockingham County,37157,95,North Carolina
Bradford County,42015,58,Pennsylvania
Worcester County,24047,62,Maryland
Jefferson County,5069,62,Arkansas
Calvert County,24009,80,Maryland
Glynn County,13127,88,Georgia
Blue Earth County,27013,48,Minnesota
San Saba County,48411,5,Texas
Hamilton County,39061,704,Ohio
Randolph County,54083,27,West Virginia
Dane County,55025,418,Wisconsin
Multnomah County,41051,639,Oregon
Norfolk City,51710,168,Virginia
Granville County,37077,55,North Carolina
Hamilton County,31081,8,Nebraska
Carroll County,29033,9,Missouri
McCormick County,45065,12,South Carolina
Smith County,28129,14,Mississippi
St. Croix County,55109,77,Wisconsin
Clinton County,19045,44,Iowa
Florence County,45041,128,South Carolina
Peoria County,17143,162,Illinois
Placer County,6061,385,California
Clarke County,13059,83,Georgia
Ohio County,54069,42,West Virginia
Lancaster County,51103,16,Virginia
Mifflin County,42087,45,Pennsylvania
Talbot County,13263,6,Georgia
Sonoma County,6097,481,California
Morgan County,39115,13,Ohio
Racine County,55101,177,Wisconsin
Walla Walla County,53071,52,Washington
Hartley County,48205,4,Texas
Tyler County,54095,10,West Virginia
Lynn County,48305,4,Texas
Gallatin County,30031,75,Montana
Fayette County,47047,41,Tennessee
Platte County,31141,29,Nebraska
Mahnomen County,27087,4,Minnesota
White County,13311,29,Georgia
Lee County,5077,7,Arkansas
Franklin County,39049,969,Ohio
Blaine County,16013,23,Idaho
Estill County,21065,14,Kentucky
Acadia Parish,22001,51,Louisiana
Stanly County,37167,57,North Carolina
Drew County,5043,15,Arkansas
Marion County,12083,441,Florida
Shelby County,21211,42,Kentucky
Logan County,5083,21,Arkansas
Muskingum County,39119,77,Ohio
Blanco County,48031,13,Texas
New Haven County,9009,786,Connecticut
Ocean County,34029,647,New Jersey
Seminole County,12117,408,Florida
Warren County,37185,21,North Carolina
Flagler County,12035,143,Florida
Mitchell County,19131,9,Iowa
Dickinson County,19059,19,Iowa
Onondaga County,36067,422,New York
Bedford City and County,51917,81,Virginia
Clinton County,42035,35,Pennsylvania
Campbell County,21037,82,Kentucky
Fulton County,13121,795,Georgia
Green County,21087,10,Kentucky
Ramsey County,27123,443,Minnesota
Volusia County,12127,603,Florida
Randolph County,37151,131,North Carolina
Preston County,54077,31,West Virginia
Troup County,13285,59,Georgia
Prince George County,51149,27,Virginia
Sibley County,27143,12,Minnesota
Cleveland County,5025,8,Arkansas
Walton County,13297,81,Georgia
Boone County,5009,36,Arkansas
Montgomery County,36057,45,New York
Lowndes County,13185,80,Georgia
Shelby County,1117,187,Alabama
Colonial Heights City,51570,18,Virginia
Bracken County,21023,8,Kentucky
Hopkins County,21107,42,Kentucky
Oneida County,55085,42,Wisconsin
Valley County,16085,12,Idaho
Dougherty County,13095,75,Georgia
Franklin City,51620,9,Virginia
Broomfield County,8014,58,Colorado
Oglethorpe County,13221,14,Georgia
Jo Daviess County,17085,22,Illinois
Ellis County,48139,143,Texas
Denton County,48121,633,Texas
Franklin County,29071,95,Missouri
Harrison County,54033,63,West Virginia
Douglas County,32005,58,Nevada
Midland County,26111,77,Michigan
Benton County,41003,73,Oregon
Wabasha County,27157,21,Minnesota
Carroll County,17015,13,Illinois
Kiowa County,40075,7,Oklahoma
Tazewell County,17179,123,Illinois
New York County,36061,1424,New York
Clermont County,39025,185,Ohio
Queen Annes County,24035,46,Maryland
Dickson County,47043,47,Tennessee
Morton County,38059,26,North Dakota
Dorchester County,45035,128,South Carolina
Rockwall County,48397,81,Texas
Morgan County,47129,18,Tennessee
Halifax County,37083,48,North Carolina
Henry County,47079,36,Tennessee
Lamar County,48277,46,Texas
Hinds County,28049,193,Mississippi
San Mateo County,6081,658,California
Douglas County,27041,40,Minnesota
Blount County,47009,132,Tennessee
Flathead County,30029,97,Montana
Chesterfield County,45025,40,South Carolina
Sweet Grass County,30097,4,Montana
Kitsap County,53035,240,Washington
Anne Arundel County,24003,492,Maryland
Waupaca County,55135,51,Wisconsin
Oswego County,36075,100,New York
Houston County,13153,125,Georgia
Chicot County,5017,9,Arkansas
Washtenaw County,26161,276,Michigan
Moore County,47127,6,Tennessee
Caddo County,40015,21,Oklahoma
Bleckley County,13023,11,Georgia
Montgomery County,24031,904,Maryland
Tompkins County,36109,77,New York
Kane County,17089,407,Illinois
Otoe County,31131,14,Nebraska
Wasco County,41065,23,Oregon
Culpeper County,51047,43,Virginia
Cerro Gordo County,19033,44,Iowa
Charlton County,13049,9,Georgia
Otsego County,36077,52,New York
Haywood County,37087,69,North Carolina
Hancock County,28045,45,Mississippi
Lincoln County,40081,32,Oklahoma
Cuyahoga County,39035,1187,Ohio
Sagadahoc County,23023,39,Maine
Cortland County,36023,40,New York
Franklin County,37069,62,North Carolina
Poinsett County,5111,20,Arkansas
Custer County,30017,11,Montana
Columbia County,36021,66,New York
Whitley County,21235,30,Kentucky
Latah County,16057,27,Idaho
Barton County,29011,11,Missouri
Otter Tail County,27111,59,Minnesota
Burleigh County,38015,79,North Dakota
Benton County,5007,206,Arkansas
Northampton County,42095,287,Pennsylvania
Champaign County,17019,143,Illinois
Rogers County,40131,78,Oklahoma
Lafayette County,28071,38,Mississippi
Alachua County,12001,199,Florida
Highlands County,12055,128,Florida
Randolph County,17157,28,Illinois
Hardin County,39065,25,Ohio
Mason County,21161,16,Kentucky
Richmond County,13245,168,Georgia
Transylvania County,37175,43,North Carolina
Effingham County,17049,30,Illinois
Burleson County,48051,16,Texas
El Dorado County,6017,184,California
Saunders County,31155,19,Nebraska
Dodge County,27039,16,Minnesota
Nolan County,48353,12,Texas
Hancock County,54029,31,West Virginia
Carlisle County,21039,5,Kentucky
Contra Costa County,6013,994,California
Kent County,26081,496,Michigan
Kent County,10001,158,Delaware
Georgetown County,45043,76,South Carolina
Greene County,36039,50,New York
Cabell County,54011,84,West Virginia
Texas County,29215,22,Missouri
Botetourt County,51023,36,Virginia
Cheshire County,33005,70,New Hampshire
Lake County,12069,417,Florida
Ravalli County,30081,46,Montana
Hancock County,21091,8,Kentucky
Franklin County,13119,22,Georgia
Vermilion Parish,22113,48,Louisiana
Poquoson City,51735,11,Virginia
Anchorage Borough,2020,200,Alaska
Boone County,54005,22,West Virginia
Marion County,41047,279,Oregon
Okfuskee County,40107,9,Oklahoma
Weston County,56045,6,Wyoming
Kenton County,21117,136,Kentucky
Westmoreland County,51193,19,Virginia
Isle of Wight County,51093,37,Virginia
Hardin County,19083,17,Iowa
Clinton County,17027,32,Illinois
Kenosha County,55059,136,Wisconsin
Windsor County,50027,59,Vermont
York County,42133,401,Pennsylvania
Uvalde County,48463,18,Texas
Amador County,6005,42,California
Logan County,17107,24,Illinois
Pulaski County,29169,28,Missouri
Jasper County,13159,14,Georgia
Clay County,12019,189,Florida
Colfax County,31037,7,Nebraska
Leflore County,28083,23,Mississippi
Washington County,24043,133,Maryland
Davidson County,37057,155,North Carolina
Saginaw County,26145,175,Michigan
Napa County,6055,125,California
Hamilton County,12047,10,Florida
Virginia Beach City,51810,371,Virginia
Berkshire County,25003,134,Massachusetts
Jackson County,19097,18,Iowa
Anoka County,27003,283,Minnesota
Carver County,27019,80,Minnesota
New London County,9011,239,Connecticut
Franklin County,25011,74,Massachusetts
Rensselaer County,36083,139,New York
Jersey County,17083,20,Illinois
Benton County,28009,7,Mississippi
Starr County,48427,41,Texas
Lincoln County,8073,4,Colorado
Pike County,5109,9,Arkansas
McDowell County,37111,43,North Carolina
Montgomery County,1101,192,Alabama
Hays County,48209,154,Texas
Outagamie County,55087,154,Wisconsin
Beaverhead County,30001,9,Montana
Union County,34039,463,New Jersey
Henry County,13151,184,Georgia
Bullitt County,21029,69,Kentucky
Moultrie County,17139,12,Illinois
Pike County,29163,15,Missouri
Salem City,51775,23,Virginia
Steuben County,36101,87,New York
Spokane County,53063,438,Washington
Ste. Genevieve County,29186,16,Missouri
Genesee County,36037,55,New York
Scotts Bluff County,31157,33,Nebraska
Washington County,36115,57,New York
Putnam County,54079,53,West Virginia
East Baton Rouge Parish,22033,349,Louisiana
Island County,53029,90,Washington
